c_            | 3.204 segundos
c_            | 3.065 segundos
c_            | 2.513 segundos
c_            | 2.605 segundos
c_            | 2.563 segundos
c_            | 3.083 segundos
c_            | 2.440 segundos
c_            | 2.395 segundos
c_            | 2.642 segundos
c_            | 2.632 segundos
java          | 0.003 segundos
java          | 0.010 segundos
java          | 0.004 segundos
java          | 0.012 segundos
java          | 0.004 segundos
java          | 0.013 segundos
java          | 0.004 segundos
java          | 0.006 segundos
java          | 0.004 segundos
java          | 0.003 segundos
csharp        | 7.384 segundos
csharp        | 4.590 segundos
csharp        | 3.236 segundos
csharp        | 3.093 segundos
csharp        | 3.856 segundos
csharp        | 3.629 segundos
csharp        | 3.249 segundos
csharp        | 3.030 segundos
csharp        | 5.069 segundos
csharp        | 3.550 segundos
go            | 0.719 segundos
go            | 0.918 segundos
go            | 0.638 segundos
go            | 0.739 segundos
go            | 0.755 segundos
go            | 1.389 segundos
go            | 1.122 segundos
go            | 0.705 segundos
go            | 1.302 segundos
go            | 0.731 segundos
cpp           | 4.203 segundos
cpp           | 2.593 segundos
cpp           | 2.874 segundos
cpp           | 2.349 segundos
cpp           | 2.669 segundos
cpp           | 3.858 segundos
cpp           | 2.469 segundos
cpp           | 2.540 segundos
cpp           | 2.596 segundos
cpp           | 3.297 segundos
javascript    | 1.017 segundos
javascript    | 0.811 segundos
javascript    | 0.811 segundos
javascript    | 0.705 segundos
javascript    | 0.784 segundos
javascript    | 0.742 segundos
javascript    | 0.710 segundos
javascript    | 0.675 segundos
javascript    | 1.838 segundos
javascript    | 0.768 segundos
php           | 9.651 segundos
php           | 7.543 segundos
php           | 7.037 segundos
php           | 7.002 segundos
php           | 7.302 segundos
php           | 7.524 segundos
php           | 7.382 segundos
php           | 7.938 segundos
php           | 8.050 segundos
php           | 7.437 segundos
ruby          | 54.100 segundos
ruby          | 48.977 segundos
ruby          | 48.077 segundos
ruby          | 46.354 segundos
ruby          | 48.016 segundos
ruby          | 48.735 segundos
ruby          | 46.359 segundos
ruby          | 46.219 segundos
ruby          | 46.289 segundos
ruby          | 48.461 segundos
rust          | 12.347 segundos
rust          | 5.974 segundos
rust          | 6.808 segundos
rust          | 5.513 segundos
rust          | 6.292 segundos
rust          | 7.996 segundos
rust          | 6.499 segundos
rust          | 6.777 segundos
rust          | 6.443 segundos
rust          | 6.017 segundos
python        | 62.278 segundos
python        | 59.277 segundos
python        | 59.767 segundos
python        | 55.584 segundos
python        | 69.151 segundos
python        | 58.944 segundos
python        | 56.266 segundos
python        | 55.849 segundos
python        | 59.959 segundos
python        | 61.044 segundos
